Capsule_1.k141_35391_7/21-362,Capsule_1.k141_35391_7,484,240.3,9.7e-70,1.0,342,239.9,8.5e-73,1.3e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_35391_6/62-342,Capsule_1.k141_35391_6,439,211.0,6.9e-61,4.0,281,168.1,4.4e-51,6.6e-48,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_35391_6/328-406,Capsule_1.k141_35391_6,439,211.0,6.9e-61,4.0,79,38.1,8.9e-12,1.3e-08,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_200184_43/25-164,Capsule_1.k141_200184_43,311,100.7,1.6e-27,4.5,140,64.8,7.3e-20,1.1e-16,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_200184_43/177-289,Capsule_1.k141_200184_43,311,100.7,1.6e-27,4.5,113,37.1,1.8e-11,2.8e-08,1.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_92670_1/4-149,Capsule_1.k141_92670_1,270,95.8,5e-26,2.2,146,62.5,3.7e-19,5.7e-16,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_92670_1/155-264,Capsule_1.k141_92670_1,270,95.8,5e-26,2.2,110,33.4,2.3e-10,3.5e-07,0.5,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_222720_2/166-314,Capsule_1.k141_222720_2,453,94.7,1e-25,1.9,149,59.4,3.2e-18,4.9e-15,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_222720_2/321-434,Capsule_1.k141_222720_2,453,94.7,1e-25,1.9,114,35.7,4.7e-11,7.1e-08,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_35215_53/22-289,Capsule_1.k141_35215_53,310,93.1,3.1e-25,3.0,268,91.9,4.8e-28,7.3e-25,3.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_211226_2/32-167,Capsule_1.k141_211226_2,299,92.8,3.9e-25,0.6,136,56.1,3.2e-17,4.9e-14,0.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_211226_2/181-292,Capsule_1.k141_211226_2,299,92.8,3.9e-25,0.6,112,35.5,5.3e-11,8.1e-08,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_169677_2/166-311,Capsule_1.k141_169677_2,453,92.2,6e-25,2.5,146,57.8,9.8e-18,1.5e-14,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
