Capsule_14.k141_162775_6/21-362,Capsule_14.k141_162775_6,484,239.9,6.1e-70,1.3,342,239.5,6.5e-73,8.3e-70,1.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_14_dsrAB_arch.domtblout
Capsule_14.k141_54440_2/20-361,Capsule_14.k141_54440_2,382,239.4,8.9e-70,0.6,342,238.9,9.4e-73,1.2e-69,0.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_14_dsrAB_arch.domtblout
Capsule_14.k141_162775_7/62-342,Capsule_14.k141_162775_7,439,211.0,3.3e-61,4.0,281,168.1,2.5e-51,3.1e-48,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_14_dsrAB_arch.domtblout
Capsule_2.k141_128307_21/21-362,Capsule_2.k141_128307_21,484,240.3,3.3e-70,1.0,342,239.9,3.4e-73,4.3e-70,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_2_dsrAB_arch.domtblout
Capsule_2.k141_130014_5/20-360,Capsule_2.k141_130014_5,381,237.8,1.8e-69,0.8,341,237.5,1.9e-72,2.4e-69,0.8,workflow/out/dsrAB_hmmer/domtbl/Capsule_2_dsrAB_arch.domtblout
Capsule_2.k141_128307_22/62-342,Capsule_2.k141_128307_22,439,211.0,2.3e-61,4.0,281,168.1,1.8e-51,2.2e-48,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_2_dsrAB_arch.domtblout
Capsule_2.k141_130014_4/4-418,Capsule_2.k141_130014_4,438,209.0,9.3e-61,0.3,415,205.1,1.2e-62,1.5e-59,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_2_dsrAB_arch.domtblout
Capsule_2.k141_67721_1/31-169,Capsule_2.k141_67721_1,190,118.7,1.9e-33,0.3,139,117.7,3e-36,3.9e-33,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_2_dsrAB_arch.domtblout
Capsule_3.k141_14201_24/21-362,Capsule_3.k141_14201_24,484,239.2,2.6e-70,1.0,342,238.8,2.9e-73,3.4e-70,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_3_dsrAB_arch.domtblout
Capsule_3.k141_14201_23/63-344,Capsule_3.k141_14201_23,439,210.7,1e-61,4.2,282,169.0,3.6e-52,4.3e-49,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_3_dsrAB_arch.domtblout
Capsule_4.k141_102741_3/4-307,Capsule_4.k141_102741_3,397,252.8,7.8e-74,2.9,304,222.5,1.2e-67,1.2e-64,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_4_dsrAB_arch.domtblout
Capsule_4.k141_67355_18/21-362,Capsule_4.k141_67355_18,484,239.2,1e-69,1.0,342,238.8,1.4e-72,1.4e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_4_dsrAB_arch.domtblout
Capsule_4.k141_67355_17/63-344,Capsule_4.k141_67355_17,439,210.7,4.1e-61,4.2,282,169.0,1.7e-51,1.7e-48,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_4_dsrAB_arch.domtblout
Capsule_4.k141_102741_4/8-283,Capsule_4.k141_102741_4,283,190.7,4.6e-55,0.6,276,190.5,5.5e-58,5.5e-55,0.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_4_dsrAB_arch.domtblout
Capsule_6.k141_192693_12/21-362,Capsule_6.k141_192693_12,484,238.6,1.8e-69,1.0,342,238.2,2e-72,2.4e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_6_dsrAB_arch.domtblout
Capsule_6.k141_192693_13/63-344,Capsule_6.k141_192693_13,439,210.7,4.7e-61,4.2,282,169.0,1.6e-51,2e-48,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_6_dsrAB_arch.domtblout
Capsule_7.k141_250498_13/12-350,Capsule_7.k141_250498_13,363,276.9,3.7e-81,0.5,339,276.6,3.7e-84,4.6e-81,0.5,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_7.k141_83721_7/8-336,Capsule_7.k141_83721_7,352,261.1,2.3e-76,0.1,329,260.8,2.3e-79,2.8e-76,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_7.k141_83721_6/4-307,Capsule_7.k141_83721_6,397,252.7,8e-74,3.2,304,222.5,8.4e-68,1e-64,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_7.k141_250498_14/7-374,Capsule_7.k141_250498_14,405,238.9,1.2e-69,0.1,368,238.5,1.3e-72,1.6e-69,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_7.k141_13716_12/21-362,Capsule_7.k141_13716_12,484,238.6,1.5e-69,1.0,342,238.2,1.6e-72,1.9e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_7.k141_13716_11/63-344,Capsule_7.k141_13716_11,439,210.7,3.9e-61,4.2,282,169.0,1.3e-51,1.6e-48,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_7_dsrAB_arch.domtblout
Capsule_9.k141_113757_10/20-361,Capsule_9.k141_113757_10,382,241.8,2.8e-70,0.6,342,241.4,2.5e-73,3.8e-70,0.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_198101_5/21-362,Capsule_9.k141_198101_5,485,239.6,1.3e-69,1.1,342,239.2,1.2e-72,1.8e-69,1.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_231281_4/20-361,Capsule_9.k141_231281_4,382,239.4,1.6e-69,0.6,342,238.9,1.4e-72,2.1e-69,0.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_136330_35/21-362,Capsule_9.k141_136330_35,484,239.2,1.8e-69,1.0,342,238.8,1.6e-72,2.4e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_136330_36/62-344,Capsule_9.k141_136330_36,439,216.5,1.3e-62,4.8,283,175.2,2.7e-53,4e-50,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_113757_11/63-420,Capsule_9.k141_113757_11,439,213.8,8.5e-62,0.2,358,203.6,6.9e-62,1e-58,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_304103_25/61-250,Capsule_9.k141_304103_25,251,136.9,1.5e-38,0.1,190,125.1,3.7e-38,5.5e-35,0.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_231281_1/61-250,Capsule_9.k141_231281_1,251,136.3,2.3e-38,0.1,190,124.9,4.3e-38,6.4e-35,0.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
Capsule_9.k141_231281_5/3-215,Capsule_9.k141_231281_5,234,120.1,1.8e-33,2.5,213,119.3,2.2e-36,3.2e-33,2.5,workflow/out/dsrAB_hmmer/domtbl/Capsule_9_dsrAB_arch.domtblout
