coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKG	geneLoc	geneNum	Score
Capsule_6	A2_2	48014_2	k141_48014	151	939	-	789	4	0.00991945	Capsule_6.k141_48014_2/3-262	Capsule_6.k141_48014_2	433.9
Capsule_6	A2_2	160260_2	k141_160260	768	1556	+	789	0	0	Capsule_6.k141_160260_2/3-262	Capsule_6.k141_160260_2	432.0
Capsule_6	A2_2	47993_2	k141_47993	151	939	-	789	1	0.00247986	Capsule_6.k141_47993_2/3-262	Capsule_6.k141_47993_2	420.8
Capsule_6	A2_2	162832_1	k141_162832	3	740	-	738	0	0	Capsule_6.k141_162832_1/2-246	Capsule_6.k141_162832_1	389.4
Capsule_6	A2_2	121352_12	k141_121352	13079	13870	+	792	0	0	Capsule_6.k141_121352_12/4-263	Capsule_6.k141_121352_12	348.7
Capsule_6	A2_2	50032_17	k141_50032	13305	14108	-	804	0	0	Capsule_6.k141_50032_17/9-267	Capsule_6.k141_50032_17	346.3
Capsule_6	A2_2	169180_2	k141_169180	361	1329	-	969	0	0	Capsule_6.k141_169180_2/4-317	Capsule_6.k141_169180_2	526.4
Capsule_6	A2_2	11803_5	k141_11803	2753	3718	+	966	1	0.00202548	Capsule_6.k141_11803_5/2-315	Capsule_6.k141_11803_5	525.2
Capsule_6	A2_2	160260_3	k141_160260	1570	2535	+	966	7	0.0141784	Capsule_6.k141_160260_3/2-315	Capsule_6.k141_160260_3	525.0
Capsule_6	A2_2	136015_8	k141_136015	4525	5490	+	966	21	0.0425351	Capsule_6.k141_136015_8/2-315	Capsule_6.k141_136015_8	517.0
Capsule_6	A2_2	70104_8	k141_70104	7724	8467	-	744	1	0.00262986	Capsule_6.k141_70104_8/1-241	Capsule_6.k141_70104_8	414.8
Capsule_6	A2_2	70160_1	k141_70160	3	746	+	744	7	0.018409	Capsule_6.k141_70160_1/1-241	Capsule_6.k141_70160_1	414.0
Capsule_6	A2_2	121352_13	k141_121352	13888	14979	+	1092	0	0	Capsule_6.k141_121352_13/4-329	Capsule_6.k141_121352_13	371.5
Capsule_6	A2_2	50032_16	k141_50032	12238	13287	-	1050	1	0.00186344	Capsule_6.k141_50032_16/4-331	Capsule_6.k141_50032_16	367.2
Capsule_6	A4_2	11803_3	k141_11803	950	1948	+	999	6	0.0122282	Capsule_6.k141_11803_3/1-328	Capsule_6.k141_11803_3	490.4
Capsule_6	A4_2	136015_5	k141_136015	2723	3721	+	999	155	0.315894	Capsule_6.k141_136015_5/1-329	Capsule_6.k141_136015_5	484.4
Capsule_6	A4_2	48014_3	k141_48014	941	1939	-	999	8	0.0163042	Capsule_6.k141_48014_3/1-328	Capsule_6.k141_48014_3	479.1
Capsule_6	A4_2	162832_2	k141_162832	741	1676	-	936	0	0	Capsule_6.k141_162832_2/1-304	Capsule_6.k141_162832_2	477.0
Capsule_6	A4_2	47993_3	k141_47993	941	1939	-	999	11	0.0224183	Capsule_6.k141_47993_3/1-328	Capsule_6.k141_47993_3	475.8
Capsule_6	A4_2	121352_11	k141_121352	12022	13059	+	1038	9	0.0176531	Capsule_6.k141_121352_11/1-337	Capsule_6.k141_121352_11	444.2
Capsule_6	A4_2	50032_18	k141_50032	14112	15149	-	1038	5	0.00980726	Capsule_6.k141_50032_18/1-338	Capsule_6.k141_50032_18	400.0
Capsule_6	A4_2	160260_1	k141_160260	2	766	+	765	1	0.00266142	Capsule_6.k141_160260_1/2-250	Capsule_6.k141_160260_1	391.3
Capsule_6	A4_2	11803_4	k141_11803	1950	2738	+	789	1	0.00258047	Capsule_6.k141_11803_4/3-262	Capsule_6.k141_11803_4	434.2
Capsule_6	A4_2	48014_2	k141_48014	151	939	-	789	4	0.0103219	Capsule_6.k141_48014_2/3-262	Capsule_6.k141_48014_2	433.9
Capsule_6	A4_2	160260_2	k141_160260	768	1556	+	789	0	0	Capsule_6.k141_160260_2/3-262	Capsule_6.k141_160260_2	432.0
Capsule_6	A4_2	47993_2	k141_47993	151	939	-	789	5	0.0129023	Capsule_6.k141_47993_2/3-262	Capsule_6.k141_47993_2	420.8
Capsule_6	A4_2	162832_1	k141_162832	3	740	-	738	0	0	Capsule_6.k141_162832_1/2-246	Capsule_6.k141_162832_1	389.4
Capsule_6	A4_2	121352_12	k141_121352	13079	13870	+	792	1	0.00257069	Capsule_6.k141_121352_12/4-263	Capsule_6.k141_121352_12	348.7
Capsule_6	A4_2	50032_17	k141_50032	13305	14108	-	804	5	0.0126616	Capsule_6.k141_50032_17/9-267	Capsule_6.k141_50032_17	346.3
Capsule_6	A4_2	169180_2	k141_169180	361	1329	-	969	0	0	Capsule_6.k141_169180_2/4-317	Capsule_6.k141_169180_2	526.4
Capsule_6	A4_2	11803_5	k141_11803	2753	3718	+	966	10	0.0210765	Capsule_6.k141_11803_5/2-315	Capsule_6.k141_11803_5	525.2
Capsule_6	A4_2	160260_3	k141_160260	1570	2535	+	966	1	0.00210765	Capsule_6.k141_160260_3/2-315	Capsule_6.k141_160260_3	525.0
Capsule_6	A4_2	136015_8	k141_136015	4525	5490	+	966	190	0.400453	Capsule_6.k141_136015_8/2-315	Capsule_6.k141_136015_8	517.0
Capsule_6	A4_2	70104_8	k141_70104	7724	8467	-	744	11	0.030102	Capsule_6.k141_70104_8/1-241	Capsule_6.k141_70104_8	414.8
Capsule_6	A4_2	70160_1	k141_70160	3	746	+	744	2	0.00547309	Capsule_6.k141_70160_1/1-241	Capsule_6.k141_70160_1	414.0
Capsule_6	A4_2	121352_13	k141_121352	13888	14979	+	1092	5	0.00932229	Capsule_6.k141_121352_13/4-329	Capsule_6.k141_121352_13	371.5
Capsule_6	A4_2	50032_16	k141_50032	12238	13287	-	1050	6	0.0116342	Capsule_6.k141_50032_16/4-331	Capsule_6.k141_50032_16	367.2
Capsule_6	A6_2	11803_3	k141_11803	950	1948	+	999	0	0	Capsule_6.k141_11803_3/1-328	Capsule_6.k141_11803_3	490.4
Capsule_6	A6_2	136015_5	k141_136015	2723	3721	+	999	17	0.0128045	Capsule_6.k141_136015_5/1-329	Capsule_6.k141_136015_5	484.4
Capsule_6	A6_2	48014_3	k141_48014	941	1939	-	999	0	0	Capsule_6.k141_48014_3/1-328	Capsule_6.k141_48014_3	479.1
Capsule_6	A6_2	162832_2	k141_162832	741	1676	-	936	0	0	Capsule_6.k141_162832_2/1-304	Capsule_6.k141_162832_2	477.0
Capsule_6	A6_2	47993_3	k141_47993	941	1939	-	999	10	0.00753207	Capsule_6.k141_47993_3/1-328	Capsule_6.k141_47993_3	475.8
Capsule_6	A6_2	121352_11	k141_121352	12022	13059	+	1038	30	0.0217472	Capsule_6.k141_121352_11/1-337	Capsule_6.k141_121352_11	444.2
Capsule_6	A6_2	50032_18	k141_50032	14112	15149	-	1038	1	0.000724908	Capsule_6.k141_50032_18/1-338	Capsule_6.k141_50032_18	400.0
Capsule_6	A6_2	160260_1	k141_160260	2	766	+	765	0	0	Capsule_6.k141_160260_1/2-250	Capsule_6.k141_160260_1	391.3
Capsule_6	A6_2	11803_4	k141_11803	1950	2738	+	789	2	0.00190736	Capsule_6.k141_11803_4/3-262	Capsule_6.k141_11803_4	434.2
Capsule_6	A6_2	48014_2	k141_48014	151	939	-	789	4	0.00381472	Capsule_6.k141_48014_2/3-262	Capsule_6.k141_48014_2	433.9
Capsule_6	A6_2	160260_2	k141_160260	768	1556	+	789	3	0.00286104	Capsule_6.k141_160260_2/3-262	Capsule_6.k141_160260_2	432.0
Capsule_6	A6_2	47993_2	k141_47993	151	939	-	789	7	0.00667577	Capsule_6.k141_47993_2/3-262	Capsule_6.k141_47993_2	420.8
Capsule_6	A6_2	162832_1	k141_162832	3	740	-	738	0	0	Capsule_6.k141_162832_1/2-246	Capsule_6.k141_162832_1	389.4
Capsule_6	A6_2	121352_12	k141_121352	13079	13870	+	792	30	0.0285021	Capsule_6.k141_121352_12/4-263	Capsule_6.k141_121352_12	348.7
